3900 5 -2.53122 -1.96633  -2.5403 -1.9652  
3900 4 -2.59176 -2.00577  -2.6082 -2.00544 
3900 3 -2.49275 -1.93343  -2.5028 -1.93622 
3900 2 -2.53234 -1.96213  -2.5501 -1.96204 
3900 1 -2.50122 -1.93887  -2.4994 -1.93357 
3500 5 -2.30359 -1.79525  -2.3084 -1.79156 
3500 4 -2.34932 -1.82393  -2.363 -1.82266  
3500 3 -2.27082 -1.76614  -2.2762 -1.76769 
3500 2 -2.30614 -1.73387  -2.3187 -1.73317 
3500 1 -2.27815 -1.7707   -2.2733 -1.76551 
3000 5 -1.99465 -1.56475  -2.0002 -1.5622  
3000 4 -2.02854 -1.58375  -2.0419 -1.58383 
3000 3 -1.96686 -1.54306  -1.973 -1.54382  
3000 1 -1.97406 -1.54699  -1.9707 -1.54215 
2000 4 -1.3596 -1.07448   -1.368 -1.07418  
2000 3 -1.32114 -1.0542   -1.3237 -1.05388 
2000 2 -1.3444 -1.06706   -1.3503 -1.06433 
